candidate_id,gender,race,age,education,experience_years,skill_score,interview_score,hired
147,Female,Asian,24,Bachelor,1,61.6,30.5,0
148,Female,Asian,24,Bachelor,22,95.6,41.0,1
149,Male,Hispanic,48,Bachelor,30,98.9,66.5,1
150,Male,Hispanic,64,High School,19,85.8,77.5,1
151,Non-binary,Asian,61,Master,24,83.0,30.0,1
152,Male,Asian,59,Bachelor,11,77.6,68.0,0
153,Male,Asian,54,Bachelor,0,41.6,64.0,0
154,Female,Asian,49,Master,22,34.1,61.1,0
155,Non-binary,Black,22,Bachelor,21,78.4,75.2,1
156,Male,Asian,29,High School,7,81.0,87.0,1
157,Female,White,58,Master,4,33.3,45.8,1
158,Female,Hispanic,53,High School,14,95.0,91.1,1
159,Male,Hispanic,64,Master,0,36.4,32.9,0
160,Female,White,58,Master,0,50.0,33.8,0
161,Male,Asian,25,Bachelor,24,77.1,41.3,1
162,Female,White,51,Master,30,41.9,29.6,1
163,Female,White,27,Bachelor,9,33.9,38.4,1
164,Female,Asian,40,Bachelor,21,53.2,28.5,1
165,Male,White,53,High School,9,83.6,85.7,1
166,Female,Asian,30,Bachelor,20,59.0,31.1,0
167,Male,Asian,33,PhD,14,75.7,79.8,1
168,Male,Black,32,Bachelor,16,70.6,23.8,0
169,Male,White,37,Bachelor,21,31.6,95.9,1
170,Female,White,22,Bachelor,5,99.2,76.9,1
171,Female,Black,42,Bachelor,2,32.9,20.5,0
172,Male,Hispanic,51,High School,12,97.7,81.1,1
173,Female,Black,34,Bachelor,15,68.5,61.1,1
174,Male,White,55,Master,7,97.4,82.3,1
175,Female,Black,25,Bachelor,29,38.0,61.8,1
176,Male,Black,49,Bachelor,14,64.3,71.3,0
177,Female,Asian,59,High School,16,41.9,82.9,1
178,Male,White,52,Bachelor,16,33.6,52.4,0
179,Non-binary,Asian,48,Master,21,73.2,20.2,0
180,Male,Black,26,High School,25,44.5,88.0,1
181,Male,Hispanic,46,High School,12,71.1,50.5,0
182,Male,White,24,Bachelor,16,37.9,59.7,1
183,Non-binary,Black,54,Master,5,53.2,20.6,0
184,Female,Hispanic,25,Master,16,84.7,59.4,1
185,Male,White,46,Bachelor,15,60.6,98.9,1
186,Female,Hispanic,41,Master,13,73.9,42.3,0
187,Female,Asian,55,Master,12,75.3,51.6,1
188,Female,White,47,Master,5,89.1,75.0,0
189,Female,White,26,Master,2,52.7,85.2,0
190,Male,Asian,56,Bachelor,13,78.1,53.4,1
191,Male,White,49,Bachelor,13,97.3,44.8,1
192,Female,Black,50,High School,14,81.1,95.0,1
193,Non-binary,White,30,Bachelor,7,64.3,74.2,1
194,Female,Black,59,PhD,28,74.2,29.5,1
195,Male,White,27,Bachelor,14,81.8,25.5,1
196,Male,Hispanic,40,Bachelor,21,72.9,58.7,0
197,Female,Hispanic,65,Master,28,31.2,37.6,0
198,Female,Hispanic,32,Bachelor,26,43.6,40.3,0
199,Female,Asian,23,High School,12,86.7,90.2,1
200,Female,White,65,Bachelor,16,49.1,27.2,0
201,Female,Asian,65,Bachelor,30,81.2,77.2,1
202,Male,White,30,Master,20,56.0,41.7,1
203,Male,White,42,High School,23,66.5,80.8,1
204,Female,White,45,Bachelor,2,34.8,77.8,0
205,Female,Black,55,Bachelor,27,42.7,20.6,0
206,Male,Asian,43,Bachelor,5,97.0,60.7,1
207,Male,Asian,24,Master,4,92.3,31.1,0
208,Female,Black,33,Bachelor,21,75.7,89.3,1
209,Male,White,49,Bachelor,25,62.2,89.7,1
210,Male,Hispanic,51,PhD,16,77.3,53.5,0
211,Female,Black,47,Master,22,73.3,55.6,0
212,Female,Black,42,High School,24,69.8,44.3,0
213,Female,White,49,Bachelor,1,34.1,77.3,0
214,Male,Asian,47,Master,25,74.3,48.7,1
215,Female,Asian,54,Master,14,83.8,41.4,0
216,Male,White,42,High School,4,99.6,54.6,1
217,Male,White,56,PhD,25,30.8,27.3,1
218,Female,Asian,55,Bachelor,19,81.1,79.7,1
219,Female,Asian,62,High School,5,70.0,21.0,0
220,Female,White,39,High School,5,60.4,71.6,0
221,Female,Hispanic,32,High School,26,38.9,34.6,1
222,Female,White,44,Master,17,58.6,38.6,1
223,Male,Black,43,High School,17,54.8,70.9,0
224,Male,Hispanic,38,High School,3,51.2,99.4,1
225,Male,Black,26,Master,16,81.2,82.2,1
226,Male,Black,65,Bachelor,24,79.1,38.1,0
227,Non-binary,White,32,High School,13,71.2,34.1,0
228,Male,White,51,High School,13,95.7,89.3,1
229,Female,Hispanic,36,High School,12,54.5,55.5,0
230,Female,Black,48,Bachelor,6,47.1,31.0,0
231,Female,Hispanic,56,Master,11,75.9,89.0,1
232,Female,White,54,High School,22,43.9,85.3,1
233,Female,White,41,High School,14,52.1,98.7,1
234,Female,White,37,Master,18,45.7,92.8,0
235,Male,Asian,55,Master,30,34.8,88.1,1
236,Female,White,23,Bachelor,10,87.9,24.2,1
237,Male,Hispanic,56,Bachelor,14,47.8,28.4,0
238,Male,Black,61,Bachelor,11,63.1,65.5,0
239,Female,Hispanic,49,Bachelor,2,33.0,62.5,1
240,Male,White,60,Bachelor,16,79.0,56.6,1
241,Non-binary,Hispanic,27,Bachelor,2,53.1,51.7,1
242,Non-binary,Asian,30,PhD,18,82.1,54.5,0
243,Non-binary,Asian,41,High School,19,58.9,65.5,1
244,Male,Asian,22,Master,3,43.7,20.2,0
245,Male,Asian,29,High School,2,65.9,40.9,1
246,Non-binary,Black,44,Master,25,39.1,61.5,0
247,Male,White,24,Master,15,60.8,77.8,1
248,Non-binary,White,25,Master,11,52.2,33.9,1
249,Non-binary,Hispanic,46,High School,7,93.8,63.8,1
250,Female,Black,59,Bachelor,23,34.3,77.2,0
251,Male,Asian,36,Bachelor,28,78.6,55.6,1
252,Male,Black,42,Master,28,42.8,22.2,0
253,Female,White,56,Bachelor,16,52.3,55.9,0
254,Male,White,35,Bachelor,6,59.1,43.7,1
255,Male,Asian,57,Bachelor,10,93.6,94.4,1
256,Female,Black,33,Bachelor,17,47.0,30.0,0
257,Non-binary,White,38,Bachelor,0,36.4,72.2,0
258,Female,Black,60,High School,2,52.3,24.2,0
259,Female,White,30,PhD,3,37.3,55.7,1
260,Male,Black,56,Master,12,39.0,64.3,0
261,Female,White,34,PhD,5,70.2,43.8,1
262,Non-binary,Asian,36,Bachelor,25,34.3,56.4,0
263,Male,White,39,Master,13,32.2,33.1,1
264,Female,Black,54,Master,4,80.0,44.3,1
265,Female,White,27,Master,15,55.3,69.7,0
266,Female,White,48,Master,14,38.8,44.1,0
267,Female,White,44,Bachelor,14,47.8,92.0,0
268,Female,Black,48,Master,29,74.9,70.3,1
269,Male,Black,55,Bachelor,3,49.3,55.1,0
270,Male,White,59,High School,7,64.6,23.1,0
271,Female,Asian,35,Bachelor,26,38.5,60.0,0
272,Female,Hispanic,57,PhD,15,71.2,81.2,1
273,Female,Asian,29,Master,27,52.1,41.2,0
274,Non-binary,White,56,PhD,15,73.9,84.5,1
275,Female,Black,40,Master,29,86.6,40.1,0
276,Female,White,51,Bachelor,3,72.8,85.9,0
277,Female,White,35,High School,12,50.7,26.8,0
278,Female,Hispanic,41,High School,25,47.9,89.3,1
279,Female,White,46,High School,27,52.9,59.9,1
280,Female,Black,61,Bachelor,12,41.5,43.7,0
281,Female,Black,45,High School,1,42.7,41.2,0
282,Male,Asian,35,Bachelor,30,85.3,54.6,1
283,Male,Black,47,PhD,2,56.9,99.9,1
284,Male,White,59,Bachelor,21,60.5,37.6,1
285,Female,White,44,Master,7,71.6,28.3,0
286,Male,Black,43,Master,23,71.3,66.8,0
287,Female,White,40,Bachelor,14,34.7,59.1,0
288,Female,White,24,Bachelor,10,88.2,61.9,1
289,Male,White,63,High School,30,42.4,73.4,1
290,Female,White,40,Bachelor,8,80.6,41.4,0
291,Male,White,30,Master,6,84.1,92.9,0
292,Male,White,49,High School,12,80.0,54.9,1
293,Female,Black,41,Bachelor,1,70.5,30.3,0
294,Male,Asian,28,Bachelor,7,31.0,79.4,1
295,Male,Asian,35,PhD,6,55.2,71.4,0
296,Female,White,30,Master,23,72.3,45.3,0
297,Female,White,40,Master,11,57.1,69.7,0
298,Male,White,35,High School,18,90.4,37.6,1
299,Female,Black,59,Master,6,51.6,55.6,0
300,Male,Asian,57,Master,9,50.5,92.0,1
301,Male,White,61,Master,28,48.6,30.7,1
302,Female,Hispanic,38,PhD,24,53.3,50.9,0
303,Female,White,51,Bachelor,15,69.0,85.7,1
304,Female,Black,30,PhD,2,79.5,97.6,1
305,Female,Asian,54,PhD,29,76.4,56.3,1
306,Non-binary,Hispanic,46,High School,9,86.5,60.6,1
307,Female,Asian,35,Bachelor,5,92.0,65.8,1
308,Male,Asian,32,PhD,17,87.1,94.6,1
309,Female,White,56,High School,17,31.3,88.7,1
310,Male,Asian,62,Bachelor,4,81.5,33.6,0
311,Male,White,35,PhD,20,44.6,54.9,1
312,Male,Hispanic,51,Bachelor,28,39.3,57.1,1
313,Male,Black,62,High School,6,74.7,83.1,1
314,Non-binary,Asian,25,Bachelor,27,52.4,68.2,0
315,Female,Black,25,Bachelor,1,34.0,72.3,1
316,Female,Black,49,Bachelor,10,39.6,99.9,0
317,Male,Black,29,High School,29,30.1,26.0,1
318,Male,Asian,23,Master,12,93.2,37.8,1
319,Male,White,62,Bachelor,22,31.7,52.6,1
320,Male,White,43,Master,4,44.7,47.8,0
321,Female,White,62,Master,29,59.1,21.7,1
322,Female,White,37,Bachelor,5,55.0,27.3,0
323,Female,Hispanic,50,Master,23,93.8,74.5,1
324,Male,White,51,High School,25,32.8,90.3,1
325,Non-binary,Hispanic,33,Bachelor,28,65.9,61.1,0
326,Female,White,56,High School,13,77.6,63.1,0
327,Female,White,32,PhD,11,95.2,40.4,1
328,Female,Asian,42,High School,3,73.4,81.4,1
329,Male,Asian,42,Bachelor,28,86.3,80.1,1
330,Male,Black,26,Master,22,35.9,67.1,1
331,Male,Black,41,Bachelor,5,57.0,37.0,0
332,Female,Asian,58,High School,9,56.2,27.8,0
333,Male,White,24,Bachelor,17,92.0,25.1,0
334,Male,Hispanic,65,Master,14,40.6,67.4,1
335,Male,Hispanic,54,Master,7,40.6,86.0,1
336,Male,Asian,30,Bachelor,25,53.0,88.7,1
337,Female,White,30,Bachelor,8,33.8,57.1,0
338,Female,Asian,25,Bachelor,4,42.8,82.7,1
339,Female,White,56,Master,9,97.6,95.8,1
340,Male,White,38,Bachelor,19,60.0,42.0,1
341,Female,White,55,Bachelor,5,74.2,51.8,1
342,Female,Black,45,Bachelor,15,80.8,94.5,0
343,Male,Hispanic,53,High School,23,55.7,47.1,1
344,Male,Asian,22,High School,26,40.3,93.1,1
345,Male,Asian,29,High School,30,44.5,98.5,1
346,Female,Black,44,Bachelor,2,51.9,72.9,0
347,Female,White,61,Master,9,74.5,85.4,1
348,Male,White,33,Bachelor,10,57.9,80.0,1
349,Male,Hispanic,33,PhD,10,30.5,76.0,0
350,Female,White,36,High School,16,66.6,44.6,1
351,Female,Hispanic,62,Master,3,94.5,24.6,0
352,Female,Black,40,Master,30,86.8,47.4,0
353,Female,Black,47,Bachelor,3,87.8,73.4,1
354,Male,Asian,50,High School,16,85.7,28.2,1
355,Male,Black,43,Master,8,52.7,21.0,0
356,Female,Hispanic,61,Bachelor,18,83.6,31.2,1
357,Male,Hispanic,42,PhD,4,40.0,77.3,0
358,Female,Black,59,Bachelor,21,76.0,97.8,0
359,Non-binary,White,41,PhD,23,74.9,98.6,1
360,Female,Black,50,Bachelor,5,31.8,59.5,0
361,Male,Hispanic,25,Master,2,85.2,89.5,1
362,Female,White,28,Master,21,93.2,78.9,1
363,Female,Black,49,Master,0,48.7,60.1,1
364,Female,Black,49,Bachelor,19,86.9,65.8,0
365,Non-binary,Asian,25,Master,21,35.8,31.0,0
366,Male,White,43,Bachelor,15,72.0,95.0,1
367,Non-binary,Asian,33,Master,22,64.0,48.2,0
368,Non-binary,Hispanic,24,Bachelor,10,68.2,55.7,1
369,Male,White,43,Master,12,94.8,73.7,1
370,Male,White,65,High School,26,91.0,46.7,1
371,Male,Hispanic,23,Master,9,85.0,40.3,1
372,Male,White,45,Master,2,49.2,70.5,1
373,Male,Hispanic,55,Master,8,93.8,22.0,0
374,Female,Black,48,Bachelor,27,36.8,77.7,0
375,Male,White,62,Bachelor,11,89.7,61.1,0
376,Male,Hispanic,22,PhD,22,53.0,68.5,1
377,Female,Black,29,Bachelor,13,33.8,70.6,1
378,Male,Black,44,Bachelor,0,76.9,62.2,1
379,Female,White,59,Master,17,46.2,66.6,0
380,Male,Black,27,Master,16,47.0,74.7,1
381,Male,White,43,Bachelor,26,51.4,80.2,1
382,Female,White,46,Master,8,34.5,78.2,0
383,Female,Hispanic,39,Master,8,42.4,89.6,0
384,Female,White,38,High School,22,30.4,35.2,0
385,Female,Asian,33,PhD,9,61.2,52.1,1
386,Female,White,27,High School,18,35.9,95.8,1
387,Male,Asian,47,Bachelor,28,77.8,51.7,1
388,Male,White,48,High School,14,46.5,30.0,1
389,Female,Hispanic,29,High School,4,96.1,62.0,1
390,Female,Black,40,PhD,14,91.0,28.8,0
391,Non-binary,White,63,Bachelor,19,50.3,36.2,1
392,Male,White,22,Bachelor,22,84.8,99.9,1
393,Male,White,50,Bachelor,29,86.2,63.3,1
394,Female,Black,56,Bachelor,24,99.1,42.7,1
395,Male,White,61,Bachelor,27,71.8,99.6,1
396,Non-binary,Asian,35,Bachelor,1,35.7,97.3,1
397,Female,Black,56,Bachelor,12,75.3,55.3,0
398,Male,White,41,Master,23,73.7,40.8,1
399,Female,Black,34,Bachelor,15,74.7,87.1,0
400,Female,Asian,59,Bachelor,14,51.5,77.2,1
401,Male,White,29,Bachelor,24,90.2,75.0,1
402,Non-binary,White,64,Master,9,97.2,91.4,1
403,Female,White,41,Bachelor,13,45.2,75.2,1
404,Female,Asian,54,Bachelor,9,36.2,42.7,0
405,Male,Asian,47,Bachelor,24,43.6,75.5,1
406,Female,Black,60,PhD,13,87.4,44.5,0
407,Male,Asian,42,Bachelor,25,77.4,80.7,1
408,Male,Asian,63,Master,29,74.5,69.6,1
409,Non-binary,Black,64,Bachelor,22,58.1,26.2,0
410,Male,Hispanic,62,Bachelor,30,70.4,61.0,1
411,Male,White,30,Master,8,51.6,47.5,1
412,Non-binary,White,45,Bachelor,24,63.4,46.3,0
413,Non-binary,White,58,Master,13,85.5,68.2,1
414,Female,White,62,PhD,2,98.7,45.8,0
415,Female,Black,38,Master,19,95.3,82.2,1
416,Male,Hispanic,45,High School,15,95.4,25.7,1
417,Male,White,42,Master,1,58.2,72.8,0
418,Male,White,60,Bachelor,9,62.8,84.7,1
419,Female,Black,62,Master,2,79.4,73.8,0
420,Female,Hispanic,60,Master,10,94.6,59.8,1
421,Female,White,34,Master,10,39.9,96.0,1
422,Female,Black,32,Bachelor,20,51.3,44.0,0
423,Male,White,40,Bachelor,20,39.7,21.5,1
424,Female,White,32,High School,21,72.8,54.6,0
425,Male,Hispanic,34,Master,12,51.4,22.6,0
426,Female,Hispanic,22,Bachelor,6,52.8,96.3,0
427,Male,White,61,Bachelor,22,35.0,36.8,1
428,Female,Hispanic,65,Master,16,54.5,83.1,0
429,Male,Black,40,Bachelor,29,90.4,82.0,1
430,Male,Hispanic,33,Bachelor,1,46.3,37.4,1
431,Male,Black,29,Bachelor,11,78.7,69.7,0
432,Female,Black,29,Bachelor,24,74.1,23.8,0
433,Female,Black,33,Bachelor,9,90.4,58.7,1
434,Male,Asian,54,High School,17,39.3,21.2,0
435,Male,White,47,Bachelor,21,98.4,93.7,1
436,Female,White,60,Bachelor,26,70.8,98.1,1
437,Male,White,49,Master,10,99.7,37.8,1
438,Female,Asian,26,High School,15,93.8,36.6,0
439,Female,White,29,Bachelor,16,45.5,80.3,1
440,Male,Asian,46,PhD,18,33.9,40.3,0
441,Male,Hispanic,48,High School,17,47.9,91.6,0
442,Non-binary,White,44,Bachelor,2,66.9,65.9,1
443,Male,Asian,51,Master,20,42.0,48.1,1
444,Male,Black,44,PhD,26,41.7,86.6,1
445,Female,Hispanic,41,Master,25,62.4,59.5,1
446,Non-binary,White,39,Master,15,32.3,92.9,0
447,Non-binary,Asian,39,Master,5,38.5,94.2,1
448,Female,Asian,23,Bachelor,24,59.1,33.2,0
449,Male,Hispanic,25,Master,11,34.4,20.2,0
450,Male,Asian,51,High School,10,57.8,98.7,1
451,Female,Black,54,PhD,14,63.2,92.5,1
452,Female,Black,57,Bachelor,14,61.6,24.4,1
453,Male,Hispanic,39,Bachelor,15,90.8,86.6,1
454,Non-binary,Black,58,Bachelor,9,67.1,56.6,1
455,Male,White,40,Master,11,62.8,40.7,0
456,Female,Hispanic,49,High School,27,58.7,90.3,0
457,Male,Asian,61,Master,12,87.2,35.7,1
458,Female,Asian,41,Master,3,92.7,95.8,1
459,Male,White,54,Bachelor,6,89.7,36.4,1
460,Male,Asian,33,Master,21,77.1,69.1,1
461,Male,White,36,Master,1,39.6,37.8,0
462,Female,Asian,62,Master,25,49.4,63.7,1
463,Female,White,60,Bachelor,26,33.2,74.7,1
464,Female,Asian,23,Bachelor,26,95.2,35.2,1
465,Non-binary,Hispanic,50,Bachelor,26,76.3,61.7,1
466,Male,White,62,Bachelor,14,82.2,57.5,1
467,Male,Hispanic,31,PhD,30,51.8,25.7,0
468,Female,Black,23,High School,7,89.2,85.5,1
469,Male,Hispanic,32,Master,6,48.2,46.9,0
470,Non-binary,Asian,34,Bachelor,30,30.1,66.0,0
471,Male,Black,31,Bachelor,14,56.3,61.2,0
472,Non-binary,Asian,35,Master,22,70.0,61.1,0
473,Male,Hispanic,39,Master,13,63.5,28.6,0
474,Female,Black,30,Bachelor,30,90.3,53.9,1
475,Female,White,60,Bachelor,7,37.4,56.2,0
476,Non-binary,Asian,49,Bachelor,27,68.8,78.7,1
477,Male,Asian,24,High School,11,65.9,87.2,1
478,Female,Asian,41,Bachelor,12,49.7,63.6,0
479,Non-binary,Asian,27,Bachelor,29,87.6,26.9,0
480,Female,Black,48,Bachelor,10,82.7,38.9,0
481,Female,Asian,23,Master,16,81.3,33.2,1
482,Female,White,50,Bachelor,30,91.3,30.0,1
483,Female,Black,59,Bachelor,28,80.6,49.3,1
484,Female,White,24,Bachelor,16,46.2,38.4,1
485,Female,White,37,Master,23,79.4,37.5,1
486,Non-binary,White,51,Master,3,51.5,24.4,0
487,Male,White,61,Bachelor,20,47.0,21.4,1
488,Male,Asian,23,Master,7,35.1,28.2,0
489,Non-binary,White,38,Bachelor,4,82.1,33.8,1
490,Female,Black,62,Bachelor,25,79.8,54.5,1
491,Female,White,33,Bachelor,15,46.4,60.8,0
492,Female,White,56,Bachelor,3,82.5,31.2,0
493,Male,White,64,Master,27,94.2,54.0,1
494,Male,White,22,Master,21,37.6,47.3,0
495,Female,Black,36,High School,28,46.3,34.7,0
496,Male,Asian,47,Master,14,82.5,20.5,0
497,Female,Black,58,Bachelor,11,49.2,57.4,0
498,Male,Black,42,High School,4,73.7,74.9,0
499,Non-binary,White,52,Bachelor,29,35.7,38.1,0
500,Non-binary,Hispanic,46,Bachelor,22,61.7,30.5,0
501,Female,Black,44,High School,15,81.7,91.0,1
502,Female,Black,45,Bachelor,13,78.1,42.0,0
503,Male,White,59,Bachelor,9,87.1,37.9,1
504,Female,White,49,Bachelor,6,91.4,88.6,1
505,Female,White,42,Master,12,84.1,85.4,0
506,Male,White,64,Bachelor,19,77.0,55.9,1
507,Non-binary,Black,39,PhD,27,32.2,59.1,1
508,Female,Black,57,Bachelor,28,67.4,37.4,0
509,Non-binary,Black,56,Master,4,32.6,26.3,0
510,Female,Asian,30,Master,28,86.6,65.9,1
511,Female,Asian,59,Master,2,52.5,27.9,0
512,Male,Asian,51,Bachelor,14,69.4,55.9,1
513,Non-binary,Hispanic,65,Master,3,49.6,95.2,1
514,Female,White,55,Bachelor,14,84.8,96.2,0
